2013/11/01	Fri	12:30 AM	6.26	H
2013/11/01	Fri	06:13 AM	1.66	L
2013/11/01	Fri	12:26 PM	7.7	H
2013/11/01	Fri	07:01 PM	0.11	L
2013/11/02	Sat	01:18 AM	6.54	H
2013/11/02	Sat	06:53 AM	1.75	L
2013/11/02	Sat	01:02 PM	8.11	H
2013/11/02	Sat	07:41 PM	-0.47	L
2013/11/03	Sun	01:05 AM	6.76	H
2013/11/03	Sun	06:34 AM	1.88	L
2013/11/03	Sun	12:39 PM	8.42	H
2013/11/03	Sun	07:23 PM	-0.92	L
2013/11/04	Mon	01:52 AM	6.88	H
2013/11/04	Mon	07:15 AM	2.03	L
2013/11/04	Mon	01:18 PM	8.6	H
2013/11/04	Mon	08:06 PM	-1.18	L
2013/11/05	Tue	02:40 AM	6.89	H
2013/11/05	Tue	07:59 AM	2.21	L
2013/11/05	Tue	01:59 PM	8.6	H
2013/11/05	Tue	08:52 PM	-1.23	L
2013/11/06	Wed	03:30 AM	6.82	H
2013/11/06	Wed	08:46 AM	2.41	L
2013/11/06	Wed	02:45 PM	8.4	H
2013/11/06	Wed	09:40 PM	-1.08	L
2013/11/07	Thu	04:23 AM	6.71	H
2013/11/07	Thu	09:39 AM	2.6	L
2013/11/07	Thu	03:36 PM	8.0	H
2013/11/07	Thu	10:32 PM	-0.75	L
2013/11/08	Fri	05:20 AM	6.63	H
2013/11/08	Fri	10:41 AM	2.74	L
2013/11/08	Fri	04:34 PM	7.44	H
2013/11/08	Fri	11:28 PM	-0.31	L
2013/11/09	Sat	06:20 AM	6.63	H
2013/11/09	Sat	11:53 AM	2.75	L
2013/11/09	Sat	05:42 PM	6.83	H
2013/11/10	Sun	12:28 AM	0.18	L
2013/11/10	Sun	07:21 AM	6.77	H
2013/11/10	Sun	01:13 PM	2.52	L
2013/11/10	Sun	06:59 PM	6.32	H
2013/11/11	Mon	01:31 AM	0.64	L
2013/11/11	Mon	08:20 AM	7.03	H
2013/11/11	Mon	02:32 PM	2.03	L
2013/11/11	Mon	08:21 PM	6.03	H
2013/11/12	Tue	02:33 AM	1.05	L
2013/11/12	Tue	09:14 AM	7.36	H
2013/11/12	Tue	03:40 PM	1.39	L
2013/11/12	Tue	09:38 PM	6.0	H
2013/11/13	Wed	03:32 AM	1.39	L
2013/11/13	Wed	10:02 AM	7.69	H
2013/11/13	Wed	04:37 PM	0.73	L
2013/11/13	Wed	10:46 PM	6.13	H
2013/11/14	Thu	04:25 AM	1.69	L
2013/11/14	Thu	10:46 AM	7.96	H
2013/11/14	Thu	05:26 PM	0.16	L
2013/11/14	Thu	11:44 PM	6.31	H
2013/11/15	Fri	05:13 AM	1.95	L
2013/11/15	Fri	11:26 AM	8.14	H
2013/11/15	Fri	06:10 PM	-0.26	L
2013/11/16	Sat	12:35 AM	6.48	H
2013/11/16	Sat	05:58 AM	2.19	L
2013/11/16	Sat	12:03 PM	8.21	H
2013/11/16	Sat	06:50 PM	-0.51	L
2013/11/17	Sun	01:21 AM	6.58	H
2013/11/17	Sun	06:39 AM	2.4	L
2013/11/17	Sun	12:39 PM	8.18	H
2013/11/17	Sun	07:28 PM	-0.61	L
2013/11/18	Mon	02:03 AM	6.61	H
2013/11/18	Mon	07:19 AM	2.6	L
2013/11/18	Mon	01:14 PM	8.04	H
2013/11/18	Mon	08:05 PM	-0.58	L
2013/11/19	Tue	02:43 AM	6.57	H
2013/11/19	Tue	07:57 AM	2.77	L
2013/11/19	Tue	01:49 PM	7.83	H
2013/11/19	Tue	08:42 PM	-0.43	L
2013/11/20	Wed	03:22 AM	6.48	H
2013/11/20	Wed	08:36 AM	2.93	L
2013/11/20	Wed	02:24 PM	7.54	H
2013/11/20	Wed	09:18 PM	-0.21	L
2013/11/21	Thu	04:03 AM	6.36	H
2013/11/21	Thu	09:17 AM	3.08	L
2013/11/21	Thu	03:01 PM	7.18	H
2013/11/21	Thu	09:56 PM	0.08	L
2013/11/22	Fri	04:45 AM	6.25	H
2013/11/22	Fri	10:01 AM	3.2	L
2013/11/22	Fri	03:41 PM	6.76	H
2013/11/22	Fri	10:36 PM	0.42	L
2013/11/23	Sat	05:29 AM	6.18	H
2013/11/23	Sat	10:53 AM	3.27	L
2013/11/23	Sat	04:27 PM	6.31	H
2013/11/23	Sat	11:19 PM	0.78	L
2013/11/24	Sun	06:16 AM	6.19	H
2013/11/24	Sun	11:54 AM	3.23	L
2013/11/24	Sun	05:22 PM	5.85	H
2013/11/25	Mon	12:05 AM	1.15	L
2013/11/25	Mon	07:04 AM	6.3	H
2013/11/25	Mon	01:03 PM	3.03	L
2013/11/25	Mon	06:29 PM	5.47	H
2013/11/26	Tue	12:55 AM	1.51	L
2013/11/26	Tue	07:51 AM	6.52	H
2013/11/26	Tue	02:11 PM	2.61	L
2013/11/26	Tue	07:45 PM	5.27	H
2013/11/27	Wed	01:49 AM	1.82	L
2013/11/27	Wed	08:37 AM	6.84	H
2013/11/27	Wed	03:12 PM	2.01	L
2013/11/27	Wed	09:01 PM	5.3	H
2013/11/28	Thu	02:44 AM	2.08	L
2013/11/28	Thu	09:20 AM	7.25	H
2013/11/28	Thu	04:05 PM	1.29	L
2013/11/28	Thu	10:09 PM	5.54	H
2013/11/29	Fri	03:38 AM	2.26	L
2013/11/29	Fri	10:02 AM	7.7	H
2013/11/29	Fri	04:52 PM	0.53	L
2013/11/29	Fri	11:09 PM	5.89	H
2013/11/30	Sat	04:29 AM	2.38	L
2013/11/30	Sat	10:44 AM	8.17	H
2013/11/30	Sat	05:37 PM	-0.2	L
